Keyword,Keyword_ID,Category,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
c,20,Others,2,2,1830000,100,0.5,27450,1.91,13725,0.01,25270000000,"[20,20,54,20,29,24,20,20,24,24,36,24]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Things to know",informational,Things to know
github,16,Tools & Platforms,1,0,823000,100,2.34,10699,0.74,25035,0.01,576000000,"[54,54,54,54,81,54,36,36,54,54,54,54]",26-01-2025,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search",navigational,People also ask
six sigma,9,Quality & Process,1,1,40500,78,1.74,10044,0.69,17476,0.24,153000000,"[54,81,81,81,100,66,66,54,66,66,66,66]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,Organic
salesforce,8,CRM & ERP,1,1,550000,100,8.34,7150,0.49,59631,0.1,224000000,"[36,55,45,45,45,55,45,55,55,45,45,45]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Twitter carousel, Related searches",navigational,People also ask
simplilearn,20,Others,1,1,8100,67,2.31,6480,0.45,14968,0.14,4270000,"[44,54,44,54,44,66,54,54,54,54,81,44]",26-01-2025,"Sitelinks, Reviews, Tweet, Video, People also ask, Related searches, See results about",navigational,Organic
pmp certification,15,Education & Certification,1,1,90500,70,3.82,5973,0.41,22816,0.65,155000000,"[54,81,81,67,67,81,67,81,81,67,67,81]",26-01-2025,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches",informational,People also ask
application software,1,Programming & Development,1,1,22200,64,4.72,5505,0.38,25983,0.14,2910000000,"[1,4,3,13,4,2,2,1,100,4,6,3]",26-01-2025,"Knowledge panel, Reviews, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
coding languages,1,Programming & Development,1,1,22200,84,1.2,5505,0.38,6606,0.05,411000000,"[4,6,100,4,4,4,4,3,4,4,6,4]",27-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search","commercial, informational",Organic
javascript,1,Programming & Development,1,1,135000,100,1.66,4387,0.3,7282,0.06,6010000000,"[54,81,54,54,44,67,36,44,54,54,54,44]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, People also search, AI overview",informational,People also ask
interpersonal skills,8,CRM & ERP,1,1,60500,72,0.07,3993,0.27,279,0.04,120000000,"[54,81,81,81,81,66,54,54,66,81,66,54]",26-01-2025,"Knowledge panel, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know, Discussions and forums",informational,People also ask
affiliate marketing,7,Marketing & SEO,1,0,90500,97,2.4,3710,0.25,8904,0.53,775000000,"[54,82,54,54,67,36,45,45,36,36,36,30]",26-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,People also ask
what is bitcoin mining,20,Others,1,1,14800,82,0,3670,0.25,0,0,61600000,"[10,6,10,8,7,7,6,10,7,7,7,13]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, People also search",informational,Organic
project management certification,5,Business & Management,1,1,49500,66,7.08,3267,0.22,23130,0.75,745000000,"[66,100,81,66,81,66,100,81,81,81,66,66]",26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, Things to know","commercial, informational",People also ask
data analyst,20,Others,1,1,74000,60,4.3,3034,0.21,13046,0.41,512000000,"[54,100,81,81,81,81,66,81,81,81,81,66]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, People also search, Ads middle, AI overview",informational,People also ask
what is ai,2,Data & AI,1,0,74000,92,0.67,3034,0.21,2032,0.29,7020000000,"[44,67,54,54,54,54,54,36,44,67,67,54]",26-01-2025,"Knowledge panel, Video, Image, People also ask, Related searches",informational,People also ask
correlation,20,Others,1,1,60500,80,0,2480,0.17,0,0,804000000,"[44,54,54,44,54,44,30,30,36,54,54,44]",26-01-2025,"Instant answer, Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, People also search",informational,People also ask
percentile,20,Others,1,1,9900,64,0,2455,0.17,0,0,272000000,"[44,44,81,66,66,66,44,44,54,81,66,54]",26-01-2025,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
internet marketing,7,Marketing & SEO,1,1,9900,96,9.04,2455,0.17,22193,0.07,5270000000,"[44,44,44,44,44,44,36,44,44,44,54,44]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, Things to know, People also search","commercial, informational",Organic
/portal.php,1,Programming & Development,2,0,74000,12,0,2405,0.16,0,0,3420000000,"[0,100,0,0,0,0,0,0,0,0,0,0]",26-01-2025,"Reviews, Video, People also ask",navigational,People also ask
algorithm,20,Others,1,1,74000,91,0.16,2405,0.16,384,0.01,898000000,"[44,54,44,44,44,44,30,36,54,44,44,36]",26-01-2025,"Instant answer, Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
aws,3,Cloud & DevOps,1,0,246000,100,24,2214,0.15,53136,0.16,591000000,"[36,44,54,44,44,44,44,44,44,66,54,44]",26-01-2025,"Knowledge panel, Image pack, Sitelinks, Video, Ads top, People also ask, Related searches, People also search",navigational,People also ask
pmp certification,15,Education & Certification,5,5,90500,70,3.82,2172,0.15,8297,0.65,155000000,"[54,81,81,67,67,81,67,81,81,67,67,81]",26-01-2025,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
project management certification,5,Business & Management,1,1,49500,66,7.08,2029,0.14,14365,0.75,745000000,"[66,100,81,66,81,66,100,81,81,81,66,66]",26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, Things to know","commercial, informational",People also ask
performance marketing,7,Marketing & SEO,1,2,8100,72,6.79,2008,0.13,13634,0.18,2920000000,"[81,81,81,81,81,81,81,100,100,81,81,81]",26-01-2025,"Knowledge panel, Top stories, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,Organic
raspberry pi,20,Others,1,1,135000,87,0.34,1755,0.12,596,1,113000000,"[81,67,67,54,44,44,54,44,54,54,54,54]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches, People also search",navigational,People also ask
how are bitcoins mined,20,Others,1,1,6600,75,2.31,1636,0.11,3779,0.1,1240000,"[36,16,29,100,6,10,66,2,19,66,66,66]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums, People also search",informational,Organic
brand management,5,Business & Management,1,1,6600,52,6.23,1636,0.11,10192,0.13,2880000000,"[66,66,81,81,100,81,81,100,100,81,66,66]",26-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, Image, Ads bottom, People also ask, Related searches, Things to know, Ads middle",informational,Organic
what is maven,20,Others,1,1,2900,66,1.51,1624,0.11,2452,0,70100000,"[54,81,65,65,65,65,65,65,81,81,81,65]",23-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, People also search, AI overview",informational,AI overview
data science,2,Data & AI,1,1,49500,91,4.73,1608,0.11,7605,0.29,2500000000,"[54,66,66,54,66,54,54,44,81,66,66,54]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches, Things to know, People also search",informational,People also ask
